State Legislative District,Office,Party,Candidate,Votes
House 1,Governor,DEM,STACEY ABRAMS,3176
House 1,Governor,LIB,TED METZ,205
House 1,Governor,REP,BRIAN KEMP,13189
House 2,Governor,DEM,STACEY ABRAMS,2896
House 2,Governor,LIB,TED METZ,203
House 2,Governor,REP,BRIAN KEMP,15636
House 3,Governor,DEM,STACEY ABRAMS,3962
House 3,Governor,LIB,TED METZ,238
House 3,Governor,REP,BRIAN KEMP,15396
House 4,Governor,DEM,STACEY ABRAMS,4308
House 4,Governor,LIB,TED METZ,114
House 4,Governor,REP,BRIAN KEMP,7960
House 5,Governor,DEM,STACEY ABRAMS,2847
House 5,Governor,LIB,TED METZ,156
House 5,Governor,REP,BRIAN KEMP,13233
House 6,Governor,DEM,STACEY ABRAMS,2924
House 6,Governor,LIB,TED METZ,136
House 6,Governor,REP,BRIAN KEMP,12539
House 7,Governor,DEM,STACEY ABRAMS,4108
House 7,Governor,LIB,TED METZ,241
House 7,Governor,REP,BRIAN KEMP,21105
House 8,Governor,DEM,STACEY ABRAMS,4747
House 8,Governor,LIB,TED METZ,294
House 8,Governor,REP,BRIAN KEMP,23185
House 9,Governor,DEM,STACEY ABRAMS,3692
House 9,Governor,LIB,TED METZ,294
House 9,Governor,REP,BRIAN KEMP,19261
House 10,Governor,DEM,STACEY ABRAMS,3513
House 10,Governor,LIB,TED METZ,209
House 10,Governor,REP,BRIAN KEMP,19405
House 11,Governor,DEM,STACEY ABRAMS,2958
House 11,Governor,LIB,TED METZ,195
House 11,Governor,REP,BRIAN KEMP,18023
House 12,Governor,DEM,STACEY ABRAMS,3176
House 12,Governor,LIB,TED METZ,136
House 12,Governor,REP,BRIAN KEMP,12745
House 13,Governor,DEM,STACEY ABRAMS,5765
House 13,Governor,LIB,TED METZ,199
House 13,Governor,REP,BRIAN KEMP,10106
House 14,Governor,DEM,STACEY ABRAMS,3487
House 14,Governor,LIB,TED METZ,192
House 14,Governor,REP,BRIAN KEMP,15782
House 15,Governor,DEM,STACEY ABRAMS,5488
House 15,Governor,LIB,TED METZ,225
